customer_state,total_orders,late_orders,avg_delay_days,avg_review_score,pct_late,region_type
AL,397,85,-8.707808564231739,3.8477157360406093,21.4,Central/South
MA,717,125,-9.571827057182706,3.832865168539326,17.4,Remote (North/Northeast)
SE,335,51,-10.02089552238806,3.907185628742515,15.2,Central/South
PI,476,66,-11.306722689075631,3.9936305732484074,13.9,Central/South
CE,1279,176,-10.80453479280688,3.9442262372348784,13.8,Central/South
RR,41,5,-17.29268292682927,3.902439024390244,12.2,Remote (North/Northeast)
BA,3256,396,-10.79453316953317,3.9296995973985753,12.2,Central/South
RJ,12350,1495,-11.761214574898785,3.965522889198264,12.1,Central/South
PA,946,106,-14.066596194503171,3.9142550911039655,11.2,Remote (North/Northeast)
ES,1995,214,-10.496240601503759,4.078720162519045,10.7,Central/South
PB,517,54,-13.261121856866538,4.076171875,10.4,Central/South
TO,274,27,-12.13138686131387,4.153846153846154,9.9,Remote (North/Northeast)
MS,701,68,-11.052781740370898,4.1587982832618025,9.7,Central/South
PE,1593,153,-13.293785310734464,4.083597213426219,9.6,Central/South
RN,474,44,-13.649789029535865,4.148619957537155,9.3,Central/South
SC,3546,291,-11.503384094754653,4.133560670645069,8.2,Central/South
GO,1957,128,-12.185487991824221,4.103802672147996,6.5,Central/South
RS,5344,325,-13.910366766467066,4.184754036800601,6.1,Central/South
MT,886,53,-14.363431151241535,4.145620022753128,6.0,Central/South
DF,2080,118,-12.048076923076923,4.132850241545894,5.7,Central/South
MG,11354,519,-13.242998062356879,4.1919361984935755,4.6,Central/South
SP,40494,1820,-11.075542055613177,4.245939502309641,4.5,Central/South
PR,4923,199,-13.314239284988828,4.239795918367347,4.0,Central/South
AC,80,3,-20.725,4.0875,3.8,Remote (North/Northeast)
AP,67,2,-19.686567164179106,4.242424242424242,3.0,Remote (North/Northeast)
RO,243,7,-20.102880658436213,4.1652892561983474,2.9,Remote (North/Northeast)
AM,145,4,-19.56551724137931,4.243055555555555,2.8,Remote (North/Northeast)
